id,name,short,long,confidence,match_confidence
31482,MC Kresha,Rapper,"Kreshnik Fazliu, known professionally as MC Kresha, is a Kosovo-Albanian rapper and songwriter.",95.44953918457033,99.0
15427,John Castle,English actor,"John Michael Frederick Castle is a retired English actor. He is best known for his film and television work, most notably playing Bill in Michelangelo Antonioni's Blowup, and Geoffrey in The Lion in Winter. ",99.99927520751952,74.0
43617,Magdalena Wróbel,Actress,,99.98314666748048,62.0
91027,Ariana Grande,American singer,"Ariana Grande-Butera is an American singer and actress. Born in Boca Raton, Florida, Grande began her career at age 15 in the 2008 Broadway musical 13. ",99.99818420410156,100.0
27043,Martin Luther King III,American advocate,"Martin Luther King III is an American human rights advocate. As the oldest son and oldest living child of civil rights leaders Martin Luther King Jr. and Coretta Scott King, King served as the 4th President of the Southern Christian Leadership Conference from 1997 to 2004.",99.98472595214844,84.0
27043,Nancy Pelosi,Speaker of the United States House of Representatives,"Nancy Patricia Pelosi is an American politician serving as Speaker of the United States House of Representatives since 2019, and previously from 2007 to 2011. She has served as a U.S. representative from California since 1987. A member of the Democratic Party, Pelosi is the only woman in U.S. history to serve as speaker. ",99.99615478515624,96.0
27043,Madvillain,Hip hop duo,"Madvillain was an American hip hop duo consisting of two MCs and producers, MF DOOM and Madlib. Their debut album Madvillainy was met with wide critical acclaim for its unique approach. ",99.9915542602539,60.00000381469727
27043,Diggy Simmons,American rapper,"Daniel Dwayne Simmons III, better known by his stage name Diggy Simmons or commonly just Diggy, is an American rapper, singer, model, and actor and the fourth child of Joseph ""Rev. Run"" Simmons of Run DMC. ",99.99983215332033,95.0
27043,Sanaya Irani,Indian television actress,"Sanaya Irani is an Indian television actress. She is known for playing Gunjan in Miley Jab Hum Tum, Khushi in Iss Pyaar Ko Kya Naam Doon? and Parvati in Rangrasiya. In 2015, she participated in the eight season of Jhalak Dikhhla Jaa and emerged as the first runner up. She later participated in Nach Baliye in 2017 with her partner Mohit Sehgal and finished third place.",99.99989318847656,77.0
81027,Pat Haden,American football quarterback,Patrick Capper Haden is the former athletic director at the University of Southern California in Los Angeles from August 2010 to June 2016. ,99.99478149414062,95.0
95064,Charlie Sheen,American actor,"Carlos Irwin Estévez, known professionally as Charlie Sheen, is an American actor. He has appeared in films including Platoon, Wall Street, Young Guns, Major League, Hot Shots!, The Three Musketeers and Beyond the Law.
",99.99744415283205,100.0
78402,Robert Swan Mueller III,Former Director of the Federal Bureau of Investigation,"Robert Swan Mueller III is an American lawyer and government official who served as the sixth Director of the Federal Bureau of Investigation from 2001 to 2013.
",99.9988021850586,100.0
78402,Ronald Perelman,American banker,"Ronald Owen Perelman is an American banker, businessman and investor. MacAndrews &amp; Forbes Incorporated, his company, has invested in companies with interests in groceries, cigars, licorice, makeup, cars, photography, television, camping supplies, security, gaming, jewelry, banks, and comic book publishing. ",99.99998474121094,95.0
78402,Carl Schuricht,Conductor,Carl Adolph Schuricht was a German conductor.,100.0,76.0
42786,Ilhan Omar,U.S. Representative,Ilhan Abdullahi Omar is an American politician serving as the U.S. Representative for Minnesota's 5th congressional district since 2019. She is a member of the Democratic–Farmer–Labor Party. ,100.0,100.0
9384,Anti-corruption campaign under Xi Jinping,,A far-reaching campaign against corruption began in China following the conclusion of the 18th National Congress of the Chinese Communist Party in 2012. ,99.9981460571289,93.0
9384,Mohammed bin Salman,Crown Prince of Saudi Arabia,"Mohammed bin Salman bin Abdulaziz Al Saud, colloquially known as MBS, is the Crown Prince of Saudi Arabia. He is currently serving as the country's deputy prime minister and is also Chairman of the Council for Economic and Development Affairs, Chairman of the Council of Political and Security Affairs, and Minister of Defense – the world's youngest at the time of his appointment. ",99.9183120727539,100.0
3789,Adolf Hitler,,"Adolf Hitler was an Austrian-born German politician who was the dictator of Germany from 1933 to 1945. He rose to power as the leader of the Nazi Party, becoming Chancellor in 1933 and then Führer in 1934. ",99.86585998535156,96.0
92867,Cathy Tyson,Film actress,"Catherine Tyson is an English stage, film and television actress. She won the Los Angeles Film Critics Association Award for Best Supporting Actress for the 1986 film Mona Lisa. The film also earned her Golden Globe and BAFTA Award nominations. ",99.99999237060548,85.0
92867,Naima Mora,American fashion model,Naima Mora is an American fashion model and the winner of Cycle 4 of America's Next Top Model.,99.99999237060548,57.0
36097,Diana Ross,American singer,"Diana Ross is an American singer and actress. Born and raised in Detroit, Michigan, she rose to fame as the lead singer of the vocal group The Supremes, who became Motown's most successful act during the 1960s and one of the world's best-selling girl groups of all time. ",99.99969482421876,95.0
93260,Will Smith,American actor,"Willard Carroll Smith Jr. is an American actor, rapper, and film producer. Smith has been nominated for five Golden Globe Awards and two Academy Awards, and has won four Grammy Awards.
",99.9998779296875,99.0
30456,Bernie Mac,American comedian,"Bernard Jeffrey McCullough, better known by his stage name Bernie Mac, was an American comedian, actor, and voice actor. Born and raised on Chicago's South Side, Mac gained popularity as a stand-up comedian. ",99.99319458007812,100.0
5962,Françoise Bertin,French actress,"Françoise Bertin was a French actress.
She appeared in over 125 films since 1961. Among these were five films directed by Alain Resnais: Last Year at Marienbad, Muriel, The War Is Over, I Want to Go Home, and Same Old Song.
",99.90534210205078,80.0
80765,Evan Peters,American actor,"Evan Thomas Peters is an American actor, best known for his multiple roles on the FX anthology series American Horror Story, Stan Bowes in the first season of the FX drama series Pose, and Quicksilver in the X-Men film series and Marvel Studios miniseries WandaVision.
",99.89708709716795,97.0
64821,Barack Obama,44th U.S. President,"Barack Hussein Obama II is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. ",99.99999237060548,99.0
41796,Bill Kelliher,,,99.99358367919922,74.0
41796,Izzy Bizu,Singer-songwriter,"Isobel Bizu Beardshaw, better known as Izzy Bizu, is an English-Ethiopian singer-songwriter signed to Epic Records. Bizu has garnered mainstream radio support from BBC Radio 1's Annie Mac and Phil Taggart and BBC Radio 1Xtra's Trevor Nelson. ",99.97201538085938,98.0
71320,Adolf Hitler,,"Adolf Hitler was an Austrian-born German politician who was the dictator of Germany from 1933 to 1945. He rose to power as the leader of the Nazi Party, becoming Chancellor in 1933 and then Führer in 1934. ",99.99568176269533,100.0
8653,Mikko Franck,Finnish conductor,Mikko Franck is a Finnish conductor and violinist.,99.9962158203125,61.0
95072,Michael J. Fox,Actor,"Michael Andrew Fox OC, known professionally as Michael J. Fox, is a Canadian-born, American retired actor, author, film producer, and activist. Beginning his career in the 1970s, he first rose to prominence for portraying Alex P. Keaton on the NBC sitcom Family Ties. Fox achieved further recognition as protagonist Marty McFly in the Back to the Future film trilogy. ",99.9976806640625,100.0
8716,Caitlyn Jenner,American television personality,"Caitlyn Marie Jenner is an American television personality and retired Olympic gold medal-winning decathlete.
Jenner played college football for the Graceland Yellowjackets before incurring a knee injury that required surgery. ",99.98889923095705,97.0
60927,Muhammad Abduh,Egyptian jurist,"Muḥammad 'Abduh was an Egyptian Islamic scholar, jurist, theologian, mujaddid, Freemason, and writer. He also wrote, among other things, ""Treatise on the Oneness of God"", and a commentary on the Quran. ",99.96902465820312,77.0
51283,Jon Hamm,American actor,"Jonathan Daniel Hamm is an American actor and producer best known for playing advertising executive Don Draper in the AMC television drama series Mad Men.
",99.98085021972656,100.0
35068,Golshifteh Farahani,Actress,"Golshifteh Farahani is an Iranian actress. She has appeared in over 30 films, many of which have received international recognition. ",99.99979400634766,79.0
68947,James N. Mattis,Former United States Secretary of Defense,James Norman Mattis is a retired United States Marine Corps four-star general who served as the 26th US secretary of defense from January 2017 to January 2019. ,99.99822235107422,100.0
14365,William H. Dana,American aeronautical engineer,"William Harvey ""Bill"" Dana was an American aeronautical engineer, U.S. Air Force pilot, NASA test pilot, and astronaut. He was one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA. ",99.99835968017578,96.0
14365,David Shambaugh,Political scientist,"David Shambaugh is the Gaston Sigur Professor of Asian Studies, Political Science &amp; International Affairs, and director of the China Policy Program at the Elliott School of International Affairs, George Washington University, Washington DC. ",99.99362182617188,55.0
85072,Edward Norton,American actor,"Edward Harrison Norton is an American actor and filmmaker. He has received numerous awards and nominations, including a Golden Globe Award and three Academy Award nominations.
",99.98450469970705,100.0
71635,Once Upon a Time... in Hollywood,2019 film,"Once Upon a Time in Hollywood is a 2019 comedy-drama film written and directed by Quentin Tarantino. Produced by Columbia Pictures, Bona Film Group, Heyday Films, and Visiona Romantica and distributed by Sony Pictures Releasing, it is a co-production between the United States, United Kingdom, and China. ",99.86952209472656,100.0
41283,Ilias Ali,Bangladeshi politician,Mohammad Ilias Ali was a Bangladeshi politician and member of the Jatiya Sangsad representing the Sylhet-2 constituency. He served as the organising secretary of the Bangladesh Nationalist Party. ,99.971923828125,66.0
27405,Lionel Richie,American singer-songwriter,"Lionel Brockman Richie Jr. is an American singer, songwriter, composer, record producer, actor, and television judge. During the 1970s, he recorded with funk band the Commodores, and his solo career made him one of the most successful balladeers of the 1980s.
",99.99996185302734,100.0
71265,Shafin Ahmed Limited,,,99.75513458251952,80.0
73258,Seo In-guk,South Korean singer-songwriter,"Seo In-guk is a South Korean singer-songwriter and actor. He launched his singing career after winning the talent reality show Superstar K in 2009, and made his acting breakthrough in Reply 1997. ",99.99788665771484,58.0
36214,Kevin Hart: Zero F**ks Given,2020 film,"Kevin Hart: Zero F**ks Given is a 2020 American stand-up comedy special by comedian Kevin Hart. According to Hart the special, which was shot in his living room, is going to be ""like no other"" having ""zero filter"" and making ""zero apologies."" ",99.99993133544922,100.0
1649,Viggo Mortensen,American-Danish actor,"Viggo Peter Mortensen Jr. is a Danish-American actor, author, musician, photographer, poet, and painter. Born in New York to a Danish father and American mother, he was a resident of Venezuela and Argentina during his childhood. ",99.98552703857422,100.0
31705,Jon Hamm,American actor,"Jonathan Daniel Hamm is an American actor and producer best known for playing advertising executive Don Draper in the AMC television drama series Mad Men.
",99.9980010986328,100.0
34157,Martin Luther King Jr. Day,Holiday,"Martin Luther King Jr. Day is a federal holiday in the United States marking the birthday of Martin Luther King Jr. It is observed on the third Monday of January each year. King's birthday is January 15. The holiday is similar to holidays set under the Uniform Monday Holiday Act. The earliest Monday for this holiday is January 15 and the latest is January 21.
",99.98543548583984,100.0
39765,Lukáš Zima,Czech footballer,Lukáš Zima is a Czech professional footballer who plays as a goalkeeper for Serie A club Genoa.,99.99871826171876,56.0
58276,Stevie Wonder,American singer-songwriter,"Stevland Hardaway Morris, known professionally as Stevie Wonder, is an American singer, songwriter, musician and record producer. ",99.8638153076172,98.0
19783,Majid bin Mohammed bin Rashid Al Maktoum,,"Majid bin Mohammed bin Rashid Al Maktoum, also referred to as Sheikh Majid, is the fifth son of Sheikh Mohammed bin Rashid Al Maktoum, Vice President and Prime Minister of UAE and Emir of Dubai. His mother is Houria Ahmed Lamara. ",99.99860382080078,63.0
40216,Olivia Thirlby,American actress,"Olivia Jo Thirlby is an American actress. She is best known for her roles as Leah in the comedy-drama film Juno, as Natalie in The Darkest Hour and as Judge Cassandra Anderson in Dredd.",99.99617767333984,60.00000381469727
48276,Adolf Hitler,,"Adolf Hitler was an Austrian-born German politician who was the dictator of Germany from 1933 to 1945. He rose to power as the leader of the Nazi Party, becoming Chancellor in 1933 and then Führer in 1934. ",99.86429595947266,89.0
47183,Ilhan Omar,U.S. Representative,Ilhan Abdullahi Omar is an American politician serving as the U.S. Representative for Minnesota's 5th congressional district since 2019. She is a member of the Democratic–Farmer–Labor Party. ,99.9988250732422,81.0
47183,Mariastella Gelmini,Italian Minister of Regional Affairs and Autonomies,Mariastella Gelmini is an Italian politician and attorney. She served as Italian Minister of Education in the Berlusconi IV Cabinet until 16 November 2011. She is currently serving as minister of Regional Affairs and Autonomies in the Draghi government.,99.9408187866211,57.0
96873,Osho,Indian public speaker,"Rajneesh, also known as Acharya Rajneesh, Bhagwan Shri Rajneesh, Bhagwan Rajneesh, Osho Rajneesh and later as Osho, was an Indian godman, mystic, and founder of the Rajneesh movement.
",99.99930572509766,58.999996185302734
56792,Gordon Ramsay,British chef,"Gordon James Ramsay OBE is a British chef, restaurateur, television personality, and writer. Born in Johnstone, Scotland, and raised in Stratford-upon-Avon, England, he founded his global restaurant group, Gordon Ramsay Restaurants, in 1997. ",99.99915313720705,100.0
32579,Snoop Dogg,American rapper,"Calvin Cordozar Broadus Jr., known professionally as Snoop Dogg, is an American rapper and media personality. His fame dates to 1992 when he featured on Dr. Dre's debut solo single, ""Deep Cover"", and then on Dre's debut solo album, The Chronic. Snoop has since sold over 23 million albums in the United States and 35 million albums worldwide.
Snoop's debut solo album, Doggystyle, produced by Dr. ",99.99494171142578,96.0
32596,Adolf Hitler,,"Adolf Hitler was an Austrian-born German politician who was the dictator of Germany from 1933 to 1945. He rose to power as the leader of the Nazi Party, becoming Chancellor in 1933 and then Führer in 1934. ",99.83232879638672,98.0
21640,Joan Cusack,American actress,"Joan Mary Cusack is an American actress and comedian. She received nominations for the Academy Award for Best Supporting Actress for her roles in the comedy-drama Working Girl and the romantic comedy In &amp; Out, as well as one Golden Globe nomination for her performance in the latter. ",99.94161987304688,66.0
21640,Marina Gatell,Spanish actress,Marina Gatell Poch is a Spanish actress.,99.93445587158205,99.0
86035,Adolf Hitler,,"Adolf Hitler was an Austrian-born German politician who was the dictator of Germany from 1933 to 1945. He rose to power as the leader of the Nazi Party, becoming Chancellor in 1933 and then Führer in 1934. ",99.7125244140625,91.0
53206,Leonardo DiCaprio,American actor,"Leonardo Wilhelm DiCaprio is an American actor, film producer, and environmentalist. He has often played unconventional roles, particularly in biopics and period films. ",99.9951629638672,100.0
78156,Freema Agyeman,Actress,"Freema Agyeman is an English actress who is known for playing Martha Jones in the BBC science fiction series Doctor Who, Alesha Phillips in crime procedural drama Law &amp; Order: UK, Amanita Caplan in the Netflix science fiction drama Sense8, and Dr. ",99.99295806884766,56.0
46907,Scotty Lago,American snowboarder,Scotty Lago is an American snowboarder. He is the 2004 world quarterpipe champion and winner of a bronze medal at the 2010 Winter Olympics.,99.99944305419922,75.0
46907,Yogeshwar Dutt,Indian wrestler,"Yogeshwar Dutt is an Indian freestyle wrestler. At the 2012 Summer Olympics, he won the bronze medal in the 60 kg category. He was awarded the Padma Shri by the Government of India in 2013. He won a gold medal at the 2014 Commonwealth Games.",97.16403198242188,83.0
8254,George Carlin,American comedian,"George Denis Patrick Carlin was an American stand-up comedian, actor, social critic, and author. Regarded as one of the most important and influential stand-up comics of all time, he was dubbed ""the dean of counterculture comedians"". ",99.99339294433594,78.0
90362,Jessica Kahawaty,Australian-Lebanese model,"Jessica Michelle Kahawaty is a Lebanese Australian model, philanthropist, former TV Host and beauty pageant titleholder who won Miss World Australia 2012 and represented Australia at Miss World 2012 in Ordos City, Inner Mongolia, China where she claimed second runner-up. she also studied Law and Business Finance. ",99.9953155517578,80.0
30682,Mohamad al-Arefe,Author,"Muhammad bin Abdul-Rahman al-Arifi is a Muslim author and Da’i. He is a graduate of King Saud University, and member of the Muslim World League and the Association of Muslim Scholars.",99.99897003173828,67.0
23807,Xzibit,American rapper,"Alvin Nathaniel Joiner, better known by his stage name Xzibit, is an American rapper, actor, songwriter, television host, and radio personality.
",99.95480346679688,100.0
91573,Jungle pulse,Song by Étienne Daho,,99.99765014648438,73.0
42801,Recep Niyaz,Turkish footballer,Recep Niyaz is a Turkish professional footballer who plays as an attacking midfielder for Süper Lig club Denizlispor.,99.997314453125,68.0
71398,Josh Brolin,American actor,"Joshua James Brolin is an American actor. He is the recipient of several accolades, including a Critics' Choice Movie Award, and has been nominated for an Academy Award.
",99.99651336669922,69.0
25896,Friedrich Reinhold Kreutzwald,Estonian writer,Friedrich Reinhold Kreutzwald was an Estonian writer who is considered to be the father of the national literature for the country. He is the author of Estonian national epic Kalevipoeg.,99.9898452758789,58.0
70423,Adolf Hitler,,"Adolf Hitler was an Austrian-born German politician who was the dictator of Germany from 1933 to 1945. He rose to power as the leader of the Nazi Party, becoming Chancellor in 1933 and then Führer in 1934. ",97.9408721923828,100.0
14762,Adolf Hitler,,"Adolf Hitler was an Austrian-born German politician who was the dictator of Germany from 1933 to 1945. He rose to power as the leader of the Nazi Party, becoming Chancellor in 1933 and then Führer in 1934. ",99.95783996582033,100.0
5489,Rey Manaj,Albanian footballer,Rey Aldo Manaj is an Albanian professional footballer who plays as a striker for Spanish team Barcelona B and the Albania national team.,99.99947357177734,88.0
70264,Michael J. Fox,Actor,"Michael Andrew Fox OC, known professionally as Michael J. Fox, is a Canadian-born, American retired actor, author, film producer, and activist. Beginning his career in the 1970s, he first rose to prominence for portraying Alex P. Keaton on the NBC sitcom Family Ties. Fox achieved further recognition as protagonist Marty McFly in the Back to the Future film trilogy. ",99.98190307617188,70.0
42315,Donald Trump,45th U.S. President,"Donald John Trump is an American media personality, businessman, and politician who served as the 45th president of the United States from 2017 to 2021.
",99.97926330566406,90.0
42315,Hillary Clinton,Former United States Secretary of State,"Hillary Diane Rodham Clinton is an American politician, diplomat, lawyer, writer, and public speaker who served as the 67th United States secretary of state from 2009 to 2013, as a United States senator from New York from 2001 to 2009, and as First Lady of the United States from 1993 to 2001. ",99.9495620727539,98.0
24069,Rosa Díez,Former Congress of Deputies of Spain,"Rosa María Díez González is a Spanish politician from Union, Progress and Democracy, UPyD deputy in the Congress of Deputies from 2008 to 2016.",99.9949188232422,93.0
79045,Josie Totah,American actress,"Josie Totah, also known as J. J. Totah, is an American actress. She is known for her recurring role on the Disney Channel series Jessie and starring role on the 2013 ABC comedy series Back in the Game. ",99.99231719970705,84.0
50328,National Audubon Society,Non-profit,The National Audubon Society is an American non-profit environmental organization dedicated to conservation of birds and their habitat. ,99.99998474121094,100.0
50328,Louis Kurihara,Japanese fashion model,"Louis Kurihara is a Japanese fashion model, TV personality, and actor represented by the Ever Green Entertainment agency. He appears on Japanese TV, playing on his ""overly negative"" character, and debuted as a film actor in the 2013 film Zekkyō Gakkyū.",99.9983901977539,69.0
50328,Ice Cube,American rapper,"O'Shea Jackson, better known by his stage name Ice Cube, is an American rapper, actor, and filmmaker. His lyrics on N.W.A's 1988 album Straight Outta Compton contributed to gangsta rap's widespread popularity, and his political rap solo albums of 1990 and 1991 were critically and commercially successful. ",99.91344451904295,100.0
4125,Rob Ryan,American football coach,Robert Allen Ryan is an American football coach who is the inside linebackers coach for the Baltimore Ravens of the National Football League. Ryan has served as a defensive coordinator or assistant coach for seven different NFL teams. ,99.99334716796876,58.0
4125,Betty Who,,,99.9954605102539,83.0
75820,Jungle pulse,Song by Étienne Daho,,99.9778060913086,82.0
71530,Alois Hitler,Austrian civil servant,"Alois Hitler Sr. was an Austrian civil servant in the customs service, and the father of Adolf Hitler, dictator of Nazi Germany.
Alois was born to then-unmarried Maria Schicklgruber, and the identity of his biological father is uncertain. That uncertain parentage has led to claims that Alois's third wife Klara may have also been Alois's cousin or niece. ",99.96922302246094,64.0
